,user_id,user_url,last_edited,item_id,helpful,recommend,review,fecha
0,76561197970982479,http://steamcommunity.com/profiles/76561197970982479,,1250,No ratings yet,True,"Simple yet with great replayability. In my opinion does ""zombie"" hordes and team work better than left 4 dead plus has a global leveling system. Alot of down to earth ""zombie"" splattering fun for the whole family. Amazed this sort of FPS is so rare.",2011-11-05
1,76561197970982479,http://steamcommunity.com/profiles/76561197970982479,,22200,No ratings yet,True,It's unique and worth a playthrough.,2011-07-15
2,76561197970982479,http://steamcommunity.com/profiles/76561197970982479,,43110,No ratings yet,True,Great atmosphere. The gunplay can be a bit chunky at times but at the end of the day this game is definitely worth it and I hope they do a sequel...so buy the game so I get a sequel!,2011-04-21
3,js41637,http://steamcommunity.com/id/js41637,,251610,15 of 20 people (75%) found this review helpful,True,"I know what you think when you see this title ""Barbie Dreamhouse Party"" but do not be intimidated by it's title, this is easily one of my GOTYs. You don't get any of that cliche game mechanics that all the latest games have, this is simply good core gameplay. Yes, you can't 360 noscope your friends, but what you can do is show them up with your bad ♥♥♥ dance moves and put them to shame as you show them what true fashion and color combinations are.I know this game says for kids but, this is easily for any age range and any age will have a blast playing this.8/8",2014-06-24
4,js41637,http://steamcommunity.com/id/js41637,,227300,0 of 1 people (0%) found this review helpful,True,"For a simple (it's actually not all that simple but it can be!) truck driving Simulator, it is quite a fun and relaxing game. Playing on simple (or easy?) its just the basic WASD keys for driving but (if you want) the game can be much harder and realistic with having to manually change gears, much harder turning, etc. And reversing in this game is a ♥♥♥♥♥, as I imagine it would be with an actual truck. Luckily, you don't have to reverse park it but you get extra points if you do cause it is bloody hard. But this is suprisingly a nice truck driving game and I had a bit of fun with it.",2013-09-08
5,js41637,http://steamcommunity.com/id/js41637,,239030,1 of 4 people (25%) found this review helpful,True,Very fun little game to play when your bored or as a time passer. Very gud. Do Recommend. pls buy,2013-11-29
7,evcentric,http://steamcommunity.com/id/evcentric,"Last edited December 5, 2015.",370360,No ratings yet,True,"""Run for fun? What the hell kind of fun is that?""",2015-12-04
8,evcentric,http://steamcommunity.com/id/evcentric,,237930,No ratings yet,True,"Elegant integration of gameplay, story, world development and aesthetic.",2014-11-03
9,evcentric,http://steamcommunity.com/id/evcentric,,263360,No ratings yet,True,"Random drops and random quests, with stat points.  Animation style reminiscent of the era before the Voodoo card.",2014-10-15
10,evcentric,http://steamcommunity.com/id/evcentric,,107200,No ratings yet,True,Fun balance of tactics and strategy.  Potential for very rewarding battles on smaller maps.  Can become a bit of a grind on larger maps (>200 stars).,2014-10-15
11,evcentric,http://steamcommunity.com/id/evcentric,,224500,No ratings yet,True,"Fun world builder, with plenty of option of how you want challenge served to you.  Gnome pathing sometimes frustrating if you expand very very quickly.",2014-10-15
12,doctr,http://steamcommunity.com/id/doctr,,250320,2 of 2 people (100%) found this review helpful,True,"This game... is so fun. The fight sequences have been improved from walking dead. It also includes more of a Sam and Max puzzle solving (some of it in the first episode) and walking dead. The game also gets even more better if you have read the Fables comic books, which are without a doubt, very good. The music is also superb and fit the scenarios very well.",2013-10-14
13,doctr,http://steamcommunity.com/id/doctr,,20920,1 of 1 people (100%) found this review helpful,True,"Really Really Really Great Game, very good story, im in chapter 1 atm and i think its great. You get a really early link with characters. No need to play the first game, its nicely wrapped up for you in a five minute video. FYI beware of the sex scenes :P, nudity does happen in the game and it shows you actually having sex, so try not to play with your parents around if your near a point in the story. Also you will need a good rig/comp to play on high. Don't even try running the game on Ultra unless you have mulitiple GPU's (Graphics card) and ram and a good processor. All in all good game :D",2012-07-28
14,doctr,http://steamcommunity.com/id/doctr,,204100,1 of 1 people (100%) found this review helpful,True,"Just buy it already. Great Story, Great Multiplayer and good fan service. Just awesome game. Just using shootdodge and bullet time makes you feel like a badass. Also, its better if you get the max payne story recapped or replay the first two but its not necessary.",2012-06-02
15,doctr,http://steamcommunity.com/id/doctr,,224600,1 of 2 people (50%) found this review helpful,True,"It was a great game from what I played, right now I need to find the actual download.",2014-06-29
16,doctr,http://steamcommunity.com/id/doctr,,207610,No ratings yet,True,"The ending to this game is.... ♥♥♥♥♥♥♥.... Just buy it, you'll be invested, im automatically preordering season two of the walking dead game.",2012-11-22
17,doctr,http://steamcommunity.com/id/doctr,,108710,No ratings yet,True,"Alan wake is a really good game, the light effects are pretty awesome and this game is so good, it paid back remedy their promotion and conversion fees in the first two days on steam. Its awesome :D. Remedy can still make video games, even if its not Max Payne. It is also very character driven.",2012-02-23
18,maplemage,http://steamcommunity.com/id/maplemage,,211420,35 of 43 people (81%) found this review helpful,True,Git gud,2014-04-15
19,maplemage,http://steamcommunity.com/id/maplemage,,211820,12 of 16 people (75%) found this review helpful,True,"It's like Terraria, you play for 9 hours straight, get endgame armour then stop playing until the next update.",2013-12-23
20,maplemage,http://steamcommunity.com/id/maplemage,,730,5 of 5 people (100%) found this review helpful,True,"Hold shift to win, Hold CTRL to lose.",2014-03-14
21,maplemage,http://steamcommunity.com/id/maplemage,,204300,No ratings yet,True,"OH YES, THIS GAME IS THE BEST, THEY ADD STUFF LIKE NEW CHARACTERS, AND LIKE A NEW MAP ONCE A YEAR, IT'S SO AWESOME, OH YES, IT'S SO AWESOMENAUTS, YES, YES, I'M GOOD AT THIS, YES, YES, GOOD, I'M GOOD, YES, GOOD, YOU ARE BAD, IM GOOD, YES, TOO GOOD, YES, IM NOT BAD, YES, GOOD.",2013-07-11
22,Wackky,http://steamcommunity.com/id/Wackky,,249130,7 of 8 people (88%) found this review helpful,True,This game is Marvellous.,2014-05-05
23,Wackky,http://steamcommunity.com/id/Wackky,"Last edited November 25, 2013.",207610,1 of 1 people (100%) found this review helpful,True,"It reminds me of that TV Show called ""The Walking Dead"".",2012-12-24
24,Wackky,http://steamcommunity.com/id/Wackky,"Last edited November 25, 2013.",550,1 of 1 people (100%) found this review helpful,True,This game is fantastic if you are looking to DEADicate some time to it.,2012-10-21
25,Wackky,http://steamcommunity.com/id/Wackky,"Last edited June 22, 2014.",65800,1 of 1 people (100%) found this review helpful,True,If you like defending dungeons then I suppose this game would suit your needs.,2012-03-20
26,Wackky,http://steamcommunity.com/id/Wackky,"Last edited November 25, 2013.",220,No ratings yet,True,You don't have to get this game. It's not like it's the greatest FPS of all time or anything. But have a think about it.,2012-03-09
29,76561198089393905,http://steamcommunity.com/profiles/76561198089393905,,72850,3 of 3 people (100%) found this review helpful,True,"Killed the Emperor, nobody cared and got away with it. Accidentally killed a chicken and everybody decided to gang up on me. 10/10",2015-02-01
30,76561198089393905,http://steamcommunity.com/profiles/76561198089393905,,440,3 of 3 people (100%) found this review helpful,True,10/10 would eat your money for hats and keys,2014-06-20
33,76561198077246154,http://steamcommunity.com/profiles/76561198077246154,"Last edited July 30, 2015.",304930,No ratings yet,True,É muito bom,2014-08-25
34,WeiEDKrSat,http://steamcommunity.com/id/WeiEDKrSat,,4000,0 of 1 people (0%) found this review helpful,True,es la rajaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaa,2013-12-25
35,thequeenpanda,http://steamcommunity.com/id/thequeenpanda,,42910,0 of 2 people (0%) found this review helpful,True,MAGICKA *SNORT* *SNORT*,2012-06-23
36,death-hunter,http://steamcommunity.com/id/death-hunter,,232090,0 of 1 people (0%) found this review helpful,True,"Amazing, Non-stop action of blowing stuff to bits, Decapitation and shooting everything you see. With a combination of action, thriller and emmersive gameplay, as well as enviromental challanges (Jump physics). This game will really put your eyes to the test, can you see the enemys before they see you? Cause their are so many!This is the second level of the killing floor, I quote bill LF4D ""Son we just crossed the street"" But in reality they only moved up an elevator level on genes. What has yet to come as the game is slowly realsed with thrilling and horryfing creations, But who really cares, Let's just blow it up, I invite you to get on the GODAMN KILLING FLOOR, LET'S SHOOT ♥♥♥♥♥ES AND GET PAID! RAHHHHHHHHHHH!",2015-09-05
37,death-hunter,http://steamcommunity.com/id/death-hunter,,1250,No ratings yet,True,"Amazing, Non-stop action of blowing stuff to bits, Decapitation and shooting everything you see. With a combination of action, thriller and emmersive gameplay, as well as enviromental challanges (Jump physics). This game will really put your eyes to the test, can you see the enemys before they see you? Cause their are so many!",2015-03-30
38,death-hunter,http://steamcommunity.com/id/death-hunter,,4000,No ratings yet,True,"Amazaing great, Creative and build All I'm going to say.",2014-02-19
39,DJKamBer,http://steamcommunity.com/id/DJKamBer,,304930,2 of 4 people (50%) found this review helpful,True,"At first, it looked to me that...""Wow, just another plain game... Minecraft Style I guess...""However, after playing it for almost 2 hours, I've realised that this game...Is nothing like Minecraft in terms on gaming content/adventure.If you've ever wished to get DayZ and want to get a first-hand experience of it, this game will be a great start!I do recommend that you guys play with a friend, and not Single Player (Just yet...)My feeling about this game is that it will become a game that requires intense TeamWork, Co-ordination and communication (Recommend: Use Voice Chat in Steam for the meantime).So for those who feel this game isn't worth playing because it looks boring, please think twice...I would have regretted my choice if I didn't choose to play this game for a while.",2014-07-14
40,DJKamBer,http://steamcommunity.com/id/DJKamBer,,570,0 of 1 people (0%) found this review helpful,True,"Awesome graphics, texture. Reqiures HARDCORE teamwork and Co-Ordination, but all good fun! Go get it now. You won't regret it!",2013-04-27
